Part Number,Type,LCSC Part,Owner,Designators,Qty,Manufacturer,Price
CL21A106KAYNNNE,Basic,C15850,System,C4,2,JLCPCB,$0.02
CL21A476MQYNNNE,Basic,C16780,System,"C3,C43,C45",6,JLCPCB,$0.17
SS14,Basic,C2480,System,D1,2,JLCPCB,$0.03
CL21B105KBFNNNE,Basic,C28323,System,C1,2,JLCPCB,$0.02
LM3940IMPX-3.3/NOPB,Extended,C544820,System,U2,2,JLCPCB,$2.11
CC0805KRX7R9BB104,Basic,C49678,System,"C48,C49,C5,C50,C6,C7",12,JLCPCB,$0.05
LM386,Extended,C5157706,System,"U33,U34",4,JLCPCB,$0.37
CL21B474KBFNNNE,Basic,C13967,System,C2,2,JLCPCB,$0.03
0805W8F0000T5E,Basic,C17477,System,"R4,R5,R6",6,JLCPCB,$0.01
MCP4922-E/SL,Extended,C39851,System,U32,2,JLCPCB,$5.35
0805W8F1002T5E,Basic,C17414,System,"R13,R3",4,JLCPCB,$0.01
0805W8F100JT5E,Basic,C17415,System,"R28,R29",4,JLCPCB,$0.01
USB4105-GF-A-120,Extended,C5184243,System,J1,2,JLCPCB,$2.24
0805B333K500NT,Basic,C1739,System,"C42,C44",4,JLCPCB,$0.03
0805W8F3300T5E,Basic,C17630,System,"R10,R11,R8,R9",8,JLCPCB,$0.01
CL21B473KBCNNNC,Basic,C53134,Customer,"C46,C47",4,JLCPCB,$0.05
0805W8F5101T5E,Basic,C27834,System,"R1,R2",4,JLCPCB,$0.01
