Designator,Mid X,Mid Y,Rotation,Layer
C1,159.85,-97.06,0.0,top
C2,159.85,-100.07,0.0,top
C3,159.85,-103.08,0.0,top
C4,159.85,-106.09,0.0,top
C42,164.3,-106.09,0.0,top
C43,168.75,-97.06,0.0,top
C44,168.75,-100.07,0.0,top
C45,168.75,-103.08,0.0,top
C46,168.75,-106.09,0.0,top
C47,173.2,-97.06,0.0,top
C48,173.2,-100.07,0.0,top
C49,173.2,-103.08,0.0,top
C5,164.3,-97.06,0.0,top
C50,173.2,-106.09,0.0,top
C6,164.3,-100.07,0.0,top
C7,164.3,-103.08,0.0,top
D1,153.245,-110.99,0.0,top
D2,170.68,-56.74,0.0,top
D3,170.68,-64.21,0.0,top
D4,170.68,-71.68,0.0,top
D5,170.68,-79.15,0.0,top
D6,170.68,-86.62,0.0,top
J1,163.47,-112.88,0.0,top
J2,180.45,-65.03,0.0,top
J3,171.61,-109.89,0.0,top
J4,171.61,-114.48,0.0,top
R1,138.15,-97.03,0.0,top
R10,142.56,-108.83,0.0,top
R11,146.97,-97.03,0.0,top
R2,138.15,-99.98,0.0,top
R28,146.97,-99.98,0.0,top
R29,146.97,-102.93,0.0,top
R3,138.15,-102.93,0.0,top
R4,138.15,-105.88,0.0,top
R5,138.15,-108.83,0.0,top
R6,142.56,-97.03,0.0,top
R7,142.56,-99.98,0.0,top
R8,142.56,-102.93,0.0,top
R9,142.56,-105.88,0.0,top
SW1,179.7,-77.33,0.0,top
SW2,179.7,-85.88,0.0,top
SW3,126.67,-103.18,0.0,top
U1,142.17,-81.53,0.0,top
U2,178.47,-111.5,180.0,top
U32,179.65,-100.815,270.0,top
U33,153.4,-98.91,270.0,top
U34,153.4,-105.49,270.0,top
